RecordID,SightDate,Year,Month,Time,Location,Location2,FishArea,Quadrant,ActualLatitude,ActualLongitude,Species,Count,Count_clean,Direction,Pod,LikelyPod,Comments,Channel,Source,ReportingParty,Harrassment,OCstranding,SJCstranding,FieldIvest,Hydrophone,StrandReport,Alive/Dead,Stranded
44262,5/1/2011,2011,5,13:45,622,,18C,151,0,0,Harbor Porpoise,400+,400+,,,,feeding,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44308,5/29/2011,2011,5,13:00,622,,18C,151,0,0,Harbor Porpoise,200,200,,,,Feeding in current,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44365,7/5/2011,2011,7,16:40,622,,18C,151,0,0,Harbor Porpoise,80+,80+,,,,,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44370,7/12/2011,2011,7,11:30,622,,18C,151,0,0,Harbor Porpoise,40-50,40.5,,,,Lots of feeding,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44934,8/28/2011,2011,8,15:00,622,,18C,151,0,0,Harbor Porpoise,10+,10+,,,,,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83190,5/27/2012,2012,5,14:00,622,,18C,151,0,0,Harbor Porpoise,10~,10~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83182,5/27/2012,2012,5,17:25,622,,18C,151,0,0,Harbor Porpoise,10~,10~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83144,6/5/2012,2012,6,13:50,622,,18C,151,0,0,Harbor Porpoise,15,15,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
82793,8/19/2012,2012,8,,622,,18C,151,0,0,Harbor Porpoise,50+,50+,,,,PM sighting,Other,WW,WP-craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
18160,8/14/2009,2009,8,,1773,,18C,151,,,Harbor Porpoise,,,,,,,Orca Network,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
39761,5/12/2010,2010,5,16:15,1773,,18C,151,0,0,Harbor Porpoise,36+,36+,,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
39268,5/16/2010,2010,5,11:30,1773,,18C,151,0,0,Harbor Porpoise,50+,50+,,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
39750,5/16/2010,2010,5,,1773,,18C,151,0,0,Harbor Porpoise,10+,10+,,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
46779,6/3/2011,2011,6,14:00,1773,,18C,151,0,0,Harbor Porpoise,~50,~50,mill,,,,Other,WW-WWV,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
46852,8/11/2011,2011,8,15:00,1773,,18C,151,0,0,Harbor Porpoise,,,,,,feeding,Other,WW-WWV,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44953,9/4/2011,2011,9,12:00,637,,18C,152,0,0,Harbor Porpoise,10+,10+,,,,,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83189,5/27/2012,2012,5,13:10,637,,18C,152,0,0,Harbor Porpoise,2,2,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83185,5/27/2012,2012,5,16:12,637,,18C,152,0,0,Harbor Porpoise,2,2,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
86430,9/18/2013,2013,9,15:30,637,Boundary Pass,,152,48.758,-123.081,Harbor Porpoise,10-Jun,6.1,N/A,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73873,9/2/1976,1976,9,12:53,3723,,18C,152,0,0,Harbor porpoise,2-Jan,1.2,,,,,HDB,Researchers,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
73874,8/14/1977,1977,8,,3723,,18C,152,0,0,Harbor porpoise,2,2,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
35947,6/7/2010,2010,6,13:30,3723,,18C,152,48.7651,-123.06715,Harbor Porpoise,1,1,,,,Injured calf spotted amongst J and L pods,Hotline,Reliable,,FALSE,TRUE,FALSE,FALSE,FALSE,NR,Alive,No
64748,8/16/1984,1984,8,15:15,618,,18C,153,0,0,Harbor porpoise,1,1,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
64903,7/31/1988,1988,7,13:20,634,,18C,153,0,0,Harbor porpoise,10,10,,,,,HDB,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
39837,4/8/2010,2010,4,13:40,634,,18C,153,0,0,Harbor Porpoise,4-Mar,3.4,,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
44299,5/25/2011,2011,5,12:40,634,,18C,153,0,0,Harbor Porpoise,3-Feb,2.3,,,,,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83232,5/18/2012,2012,5,13:15,634,,18C,153,0,0,Harbor Porpoise,,,,,,,Other,WW-WP,Nancy,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
82971,7/21/2012,2012,7,,638,,18C,153,0,0,Harbor Porpoise,,,,,,AM sighting,Other,WW,WP-peter,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
69994,5/29/1989,1989,5,15:00,2893,,18C,153,0,0,Harbor porpoise,2,2,E,,,,Hotline,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
69995,5/29/1989,1989,5,15:10,2893,,18C,153,0,0,Harbor porpoise,2,2,,,,,HDB,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
75187,8/12/1983,1983,8,,4340,,18C,154,0,0,Harbor porpoise,1,1,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
